Taxa,EDNA20_474103,EDNA20_478993,EDNA20_478981,EDNA20_474014,EDNA20_474091,EDNA20_474086,EDNA20_478907,EDNA20_478851,EDNA20_478949,EDNA20_478941,EDNA20_478929,EDNA20_478985,EDNA20_478895,EDNA20_474043,EDNA20_478959,EDNA20_478954,EDNA20_478847,EDNA20_474099,EDNA20_478969,EDNA20_474198,EDNA20_474143,EDNA20_478989,EDNA20_474107,EDNA20_474079,EDNA20_474179,EDNA20_478997,EDNA20_478973,EDNA20_478977,EDNA20_474001,EDNA20_478887,EDNA20_478655,EDNA20_478672,EDNA20_478685,EDNA20_478631,EDNA20_478618,EDNA20_478748,EDNA20_478752,EDNA20_474207,EDNA20_478677,EDNA20_478964,EDNA20_474237,EDNA20_478933,EDNA20_478745,EDNA20_478639,EDNA20_478689,EDNA20_478635,EDNA20_478706,EDNA20_474005,EDNA20_478867,EDNA20_474217,EDNA20_474148,EDNA20_474160,EDNA20_474175,EDNA20_478732
Leptagonus decagonus,0,0,0,0,1546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammodytes americanus,0,387,857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14528,0,52798,0,0,0,0,0,4896,0,0,97745,0,1249,0,552,2646,440,0,0,2510,0,0,0,0,81632,1295,0,939,0,0,0,0,0,0,0,0
Ammodytes dubius,0,0,1293,0,0,0,0,0,798,0,0,0,0,0,0,0,0,17201,0,147498,0,0,0,2026,0,7574,0,0,310652,0,0,0,0,0,0,1081,0,5163,0,0,0,0,117894,0,0,598,0,0,0,983,0,0,0,0
Ammodytes tobianus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anarhichas g.,0,0,0,0,574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,460,0,0,0,0
Arctozenus risso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7628,0,0
Argentina silus,0,0,0,0,0,0,0,0,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brosme brosme,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,487,0,0,0,0,0,0,0,0,0,0,0,862,0,3168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Citharichthys arctifrons,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1397,0,0,0,0,0,0,0,0,0,0,0,0,1505,1018,0,0,0,0,0,0,0,0,0
Clupea harengus,1998,0,0,0,1144,450,2514,0,0,0,0,0,1832,26437,722,0,0,0,0,0,0,0,0,6397,319,0,0,771,0,165,0,0,19498,0,0,3336,2668,0,0,0,0,0,0,0,15913,1116,4254,0,289,0,1020,0,1683,0
